bestobjid,mjd,z,oiii_4959_flux,oiii_5007_flux,h_beta_flux,nii_6548_flux,nii_6584_flux,h_alpha_flux
1.23765E+18,51630,0.06215091,4.776598,25.04931,7.331618,4.990799,15.0534,16.28403
1.23765E+18,51630,0.03580831,64.51964,210.5195,333.1961,119.0567,359.1024,1311.788
1.23765E+18,51630,0.03645184,38.4413,114.1467,36.18832,24.37728,73.52751,145.3708
1.23765E+18,51630,0.3580701,-3.742099,3.169634,0.2568783,7.161191,21.5998,51.60824
1.23765E+18,51630,0.1464075,-3.532329,6.647326,1.754283,1.199562,3.618156,6.036392
1.23765E+18,51630,0.07141443,4.953734,22.76943,33.09707,17.35447,52.34507,109.4993
1.23765E+18,51630,0.460163,-3.041266,11.76689,10.72272,0,0,0
1.23765E+18,51630,0.4403714,0.4331402,0.08385868,4.276292,0,0,0
1.23765E+18,51630,0.1258487,51.58221,152.4512,234.3673,135.0141,407.2336,1001.9
1.23765E+18,51630,0.3702054,1.685438,8.538028,0.2031088,3.245563,9.789366,1.229899
1.23765E+18,51630,0.1431519,3.364233,13.90921,27.62288,8.381945,25.28188,12.73472
1.23765E+18,51630,0.06333868,10.86,34.60257,7.80135,18.06639,54.49239,53.79446
1.23765E+18,51608,0.09035492,4.965839,13.8624,4.270118,7.715471,23.27164,28.13119
1.23765E+18,51608,0.1101958,5.62057,12.2289,45.99848,26.73779,80.64733,253.5972
1.23765E+18,51608,0.07910439,10.35309,21.31556,76.19621,45.88917,138.4123,367.6431
1.23765E+18,51608,0.1275448,5.536906,13.62244,7.61873,15.89797,47.95195,26.37912
1.23765E+18,51608,0.2046565,-0.9511006,4.084954,19.46007,10.51711,31.72203,82.65038
1.23765E+18,51608,0.09785258,2.980796,16.21121,65.26759,35.09874,105.8659,240.6636
1.23765E+18,51608,0.07421976,29.88359,77.76672,58.66723,11.58785,34.95163,190.1765
1.23765E+18,51608,0.09370408,3.845977,5.619585,6.853385,3.896854,11.75381,18.5223
1.23765E+18,51608,0.09917402,46.80979,147.8519,19.00392,40.90339,123.3741,98.60318
1.23765E+18,51633,0.09158873,10.33846,16.45599,46.71999,23.07138,69.58862,200.6974
1.23765E+18,51633,0.3672183,-2.270293,-0.2556286,1.158131,0.2308371,0.6962581,-7.818006
1.23765E+18,51633,0.1661778,0.08940581,7.17866,18.9629,20.07146,60.54015,109.3788
1.23765E+18,51633,0.1697427,3.711528,14.56726,3.305559,0.7552485,2.278004,3.33327
1.23765E+18,51633,0.04624894,4.085193,16.38635,7.203358,17.73631,53.4968,47.72829
1.23765E+18,51633,0.06146668,3.244986,6.718429,5.389117,1.633538,4.927127,13.7829
1.23765E+18,51633,0.08867424,1.520193,0.594043,2.385518,-0.2106146,-0.6352623,8.824844
1.23765E+18,51633,0.1057043,-1.243852,11.6195,2.690435,12.42357,37.47235,15.28959
1.23765E+18,51633,0.06491762,2.973822,5.206025,9.014057,3.227015,9.733422,26.62962
1.23765E+18,51633,0.04619598,66.43977,195.8559,44.96656,47.03545,141.8698,181.1279
1.23765E+18,51633,0.06313949,4.048749,4.74062,4.277398,0,0,0
1.23765E+18,51633,0.3076873,2.011686,2.838058,2.82252,0.6612563,1.994502,-9.101777
1.23765E+18,51633,0.2807992,-0.06991049,0.4559638,-0.5885414,-0.8395835,-2.532378,-3.78791
1.23765E+18,51633,0.1645564,3.674446,5.582957,31.00821,17.89905,53.98767,167.3472
1.23765E+18,51633,0.09729816,6.686864,25.33495,26.39253,33.32031,100.5017,123.5644
1.23765E+18,51633,0.04730976,11.21606,23.75622,32.78878,23.25337,70.13752,150.8171
1.23765E+18,51633,0.172407,-4.71137,-0.7450777,1.398071,3.170684,9.563516,6.564607
0,51633,0.06493151,6.96239,21.85851,78.03177,50.12635,151.1927,366.7948
1.23765E+18,51633,0.3632078,2.31041,1.931324,2.596102,-7.094964,-21.40005,-4.187475
1.23765E+18,51633,0.1710902,1.595945,16.08039,7.522234,12.86645,38.80817,17.13015
1.23765E+18,51910,0.09487154,7.074732,4.066037,13.8661,8.516273,25.68705,60.47321
